,"Meyer's Spreadsheet: ETA 218 Report Data, Potential Weeks of Duration",,,,,,,
state,Total Potential,Less Than 10,10 to 14,15 to 19,20 to 21,22 to 23,24 to 25,26 to 27
Arizona,130905,0,5042,16508,6455,6209,6646,90045
Colorado,119666,2584,8242,15930,6974,8459,10362,67115
Idaho,38254,0,6571,4428,3608,5857,10194,7596
Illinois,348270,0,0,0,1,4,10,348244
Kentucky,119227,0,0,158,102,113,109,118745
Louisiana,104881,0,0,0,0,0,0,104881
Nevada,96810,58,4904,13100,5309,5729,6731,60979
New Jersey,331315,1787,6199,12079,14089,12995,13775,270391
New York,490955,0,0,0,0,0,0,490955
Ohio,229848,3,6,30,7004,7217,7621,207967
Oklahoma,87145,1,0,2605,3089,33209,7698,40543
Oregon,142069,2110,3964,6509,2756,2836,2799,121095
Texas,676381,0,75066,101410,50613,65919,98007,285366
Utah,57079,0,7185,10502,5305,6616,8925,18546
Washington,217627,80,317,19344,11999,13697,15694,156496
West Virginia,62268,0,0,0,0,0,0,62268
Wisconsin,225922,809,4044,24917,9771,9963,12388,164030